Text Inputs : Specimen label,"S1.104M_LS_CONDYLE"
Notes : Specimen note 1,"Sheep, LS.

Tried testing on the condyle to verify that chipping the bone and gluing it back together does not effect the mechanical properties. Angle of the plane caused it to slip off and test to be void."

Time,Extension,Load,True stress
(sec),(mm),(N),(MPa)
0.48980,-64.31453,-1.00196,0.14788
0.49080,-64.32300,-0.98253,0.14498
0.49180,-64.33156,-0.96291,0.14205
0.49280,-64.34021,-0.94308,0.13909
0.49380,-64.34897,-0.92301,0.13610
0.49480,-64.35782,-0.90263,0.13306
0.49580,-64.36676,-0.88189,0.12997
0.49600,-64.36676,-0.88189,0.12997
0.49680,-64.37580,-0.86082,0.12684
0.49780,-64.38494,-0.83946,0.12366
0.49880,-64.39418,-0.81783,0.12044
0.49980,-64.40351,-0.79598,0.11719
0.50080,-64.41295,-0.77398,0.11392
0.50180,-64.42249,-0.75184,0.11063
0.50280,-64.43213,-0.72968,0.10734
0.50380,-64.44187,-0.70761,0.10407
0.50480,-64.45173,-0.68571,0.10082
0.50580,-64.46169,-0.66406,0.09761
0.50680,-64.47177,-0.64272,0.09444
0.50780,-64.48195,-0.62179,0.09134
0.50880,-64.49223,-0.60136,0.08832
0.50980,-64.50262,-0.58157,0.08538
0.51080,-64.51311,-0.56251,0.08256
0.51180,-64.52371,-0.54426,0.07986
0.51200,-64.52371,-0.54426,0.07986
0.51280,-64.53440,-0.52683,0.07728
0.51380,-64.54518,-0.51025,0.07482
0.51480,-64.55607,-0.49452,0.07249
0.51580,-64.56704,-0.47965,0.07029
0.51680,-64.57811,-0.46562,0.06822
0.51780,-64.58926,-0.45237,0.06625
0.51880,-64.60050,-0.43982,0.06440
0.51980,-64.61182,-0.42787,0.06263
0.52080,-64.62322,-0.41647,0.06094
0.52180,-64.63469,-0.40563,0.05933
0.52280,-64.64624,-0.39530,0.05780
0.52380,-64.65786,-0.38542,0.05634
0.52480,-64.66954,-0.37593,0.05493
0.52580,-64.68130,-0.36683,0.05359
0.52680,-64.69313,-0.35819,0.05231
0.52780,-64.70502,-0.35009,0.05111
0.52800,-64.70502,-0.35009,0.05111
0.52880,-64.71697,-0.34260,0.05000
0.52980,-64.72899,-0.33584,0.04899
0.53080,-64.74107,-0.32985,0.04810
0.53180,-64.75321,-0.32468,0.04733
0.53280,-64.76540,-0.32037,0.04669
0.53380,-64.77765,-0.31694,0.04617
0.53480,-64.78996,-0.31436,0.04578
0.53580,-64.80231,-0.31259,0.04551
0.53680,-64.81471,-0.31153,0.04534
0.53780,-64.82715,-0.31109,0.04526
0.53880,-64.83964,-0.31118,0.04525
0.53980,-64.85216,-0.31177,0.04532
0.54080,-64.86472,-0.31274,0.04545
0.54180,-64.87732,-0.31398,0.04561
0.54280,-64.88994,-0.31529,0.04578
0.54380,-64.90260,-0.31655,0.04595
0.54400,-64.90260,-0.31655,0.04595
0.54480,-64.91528,-0.31767,0.04610
0.54580,-64.92799,-0.31860,0.04622
0.54680,-64.94073,-0.31930,0.04630
0.54780,-64.95348,-0.31971,0.04634
0.54880,-64.96627,-0.31981,0.04634
0.54980,-64.97908,-0.31957,0.04629
0.55080,-64.99191,-0.31904,0.04620
0.55180,-65.00478,-0.31832,0.04607
0.55280,-65.01768,-0.31746,0.04593
0.55380,-65.03061,-0.31655,0.04578
0.55480,-65.04357,-0.31562,0.04563
0.55580,-65.05657,-0.31474,0.04549
0.55680,-65.06959,-0.31395,0.04536
0.55780,-65.08265,-0.31330,0.04525
0.55880,-65.09574,-0.31279,0.04516
0.55980,-65.10886,-0.31241,0.04508
0.56000,-65.10886,-0.31241,0.04508
0.56080,-65.12201,-0.31213,0.04503
0.56180,-65.13520,-0.31193,0.04498
0.56280,-65.14841,-0.31179,0.04494
0.56380,-65.16166,-0.31168,0.04491
0.56480,-65.17494,-0.31157,0.04488
0.56580,-65.18825,-0.31152,0.04485
0.56680,-65.20159,-0.31166,0.04486
0.56780,-65.21496,-0.31222,0.04492
0.56880,-65.22837,-0.31352,0.04509
0.56980,-65.24181,-0.31591,0.04542
0.57080,-65.25528,-0.31971,0.04594
0.57180,-65.26877,-0.32519,0.04671
0.57280,-65.28231,-0.33250,0.04774
0.57380,-65.29585,-0.34170,0.04905
0.57480,-65.30942,-0.35284,0.05063
0.57580,-65.32300,-0.36589,0.05248
0.57600,-65.32300,-0.36589,0.05248
0.57680,-65.33659,-0.38085,0.05460
0.57780,-65.35018,-0.39765,0.05699
0.57880,-65.36377,-0.41622,0.05963
0.57980,-65.37734,-0.43640,0.06249
0.58080,-65.39090,-0.45790,0.06555
0.58180,-65.40443,-0.48029,0.06872
0.58280,-65.41793,-0.50303,0.07195
0.58380,-65.43140,-0.52559,0.07515
0.58480,-65.44482,-0.54744,0.07824
0.58580,-65.45821,-0.56814,0.08117
0.58680,-65.47155,-0.58732,0.08388
0.58780,-65.48485,-0.60479,0.08634
0.58880,-65.49810,-0.62037,0.08853
0.58980,-65.51131,-0.63400,0.09044
0.59080,-65.52449,-0.64569,0.09207
0.59180,-65.53763,-0.65550,0.09343
0.59200,-65.53763,-0.65550,0.09343
0.59280,-65.55074,-0.66358,0.09455
0.59380,-65.56384,-0.67012,0.09544
0.59480,-65.57692,-0.67536,0.09615
0.59580,-65.59000,-0.67957,0.09672
0.59680,-65.60308,-0.68311,0.09718
0.59780,-65.61616,-0.68640,0.09761
